Name,Transimission_Type,Engine_Size,Usage_Origin,Year,Price
Toyota Harrier,Automatic,2000 CC,Foreign Used,2017,"KES 3,450,000"
Audi SQ5,Automatic,3000 CC,Foreign Used,2018,"KES 6,463,700"
Range Rover Vogue SV,Automatic,4400 CC,Foreign Used,2023,"KES 51,400,000"
Isuzu MUX,Automatic,3000 CC,Foreign Used,2022,"KES 8,600,000"
Mazda CX5,Automatic,2500 CC,Foreign Used,2019,"KES 4,788,209"
Toyota Fortuner,Automatic,2800 CC,Foreign Used,2021,"KES 8,182,000"
Toyota Harrier,Automatic,2000 CC,Foreign Used,2017,"KES 3,999,999"
Citroen C4 Cactus,Automatic,1200 CC,Foreign Used,2017,"KES 1,859,000"
Porsche Cayenne,Automatic,3000 CC,Foreign Used,2019,"KES 10,900,000"
Volvo V60,Automatic,1600 CC,Foreign Used,2017,"KES 2,449,999"
Toyota Crown,Automatic,2500 CC,Kenyan Used,2008,"KES 1,199,999"
Subaru Forester,Automatic,2000 CC,Kenyan Used,2015,"KES 2,399,999"
Lexus RX450h,Automatic,3500 CC,Kenyan Used,2014,"KES 3,499,999"
Porsche Cayenne,Automatic,3600 CC,Kenyan Used,2008,"KES 949,999"
Mazda CX5,Automatic,2200 CC,Kenyan Used,2013,"KES 1,549,999"
Toyota Mark X,Automatic,2500 CC,Foreign Used,2016,"KES 2,399,999"
Mazda Demio,Automatic,1300 CC,Kenyan Used,2016,"KES 1,249,999"
Volvo S60,Automatic,2000 CC,Kenyan Used,2016,"KES 1,799,999"
Nissan Xtrail,Automatic,2000 CC,Kenyan Used,2015,"KES 1,799,999"
Mercedes Benz S300h,Automatic,2100 CC,Foreign Used,2017,"KES 6,310,000"
Nissan Xtrail,Automatic,2000 CC,Kenyan Used,2014,"KES 1,499,999"
Toyota Premio,Automatic,1500 CC,Kenyan Used,2001,"KES 599,999"
Volvo XC90,Automatic,2000 CC,Foreign Used,2019,"KES 6,795,000"
BMW X3,Automatic,2000 CC,Foreign Used,2017,"KES 4,349,999"
Toyota Spade,Automatic,1500 CC,Kenyan Used,2015,"KES 1,099,999"
Lexus LS300h,Automatic,2500 CC,Foreign Used,2017,"KES 3,978,000"
Toyota Harrier,Automatic,2000 CC,Kenyan Used,2016,"KES 2,899,999"
Volvo S60,Automatic,2000 CC,Foreign Used,2018,"KES 2,549,999"
Mazda Demio,Automatic,1300 CC,Kenyan Used,2008,"KES 589,999"
