Name,Transimission_Type,Engine_Size,Usage_Origin,Year,Price
Toyota Harrier,Automatic,2000.0,Foreign Used,2017,3450000.0
Audi SQ5,Automatic,3000.0,Foreign Used,2018,6463700.0
Range Rover Vogue SV,Automatic,4400.0,Foreign Used,2023,51400000.0
Isuzu MUX,Automatic,3000.0,Foreign Used,2022,8600000.0
Mazda CX5,Automatic,2500.0,Foreign Used,2019,4788209.0
Toyota Fortuner,Automatic,2800.0,Foreign Used,2021,8182000.0
Toyota Harrier,Automatic,2000.0,Foreign Used,2017,3999999.0
Citroen C4 Cactus,Automatic,1200.0,Foreign Used,2017,1859000.0
Porsche Cayenne,Automatic,3000.0,Foreign Used,2019,10900000.0
Volvo V60,Automatic,1600.0,Foreign Used,2017,2449999.0
Toyota Crown,Automatic,2500.0,Kenyan Used,2008,1199999.0
Subaru Forester,Automatic,2000.0,Kenyan Used,2015,2399999.0
Lexus RX450h,Automatic,3500.0,Kenyan Used,2014,3499999.0
Porsche Cayenne,Automatic,3600.0,Kenyan Used,2008,949999.0
Mazda CX5,Automatic,2200.0,Kenyan Used,2013,1549999.0
Toyota Mark X,Automatic,2500.0,Foreign Used,2016,2399999.0
Mazda Demio,Automatic,1300.0,Kenyan Used,2016,1249999.0
Volvo S60,Automatic,2000.0,Kenyan Used,2016,1799999.0
Nissan Xtrail,Automatic,2000.0,Kenyan Used,2015,1799999.0
Mercedes Benz S300h,Automatic,2100.0,Foreign Used,2017,6310000.0
Nissan Xtrail,Automatic,2000.0,Kenyan Used,2014,1499999.0
Toyota Premio,Automatic,1500.0,Kenyan Used,2001,599999.0
Volvo XC90,Automatic,2000.0,Foreign Used,2019,6795000.0
BMW X3,Automatic,2000.0,Foreign Used,2017,4349999.0
Toyota Spade,Automatic,1500.0,Kenyan Used,2015,1099999.0
Lexus LS300h,Automatic,2500.0,Foreign Used,2017,3978000.0
Toyota Harrier,Automatic,2000.0,Kenyan Used,2016,2899999.0
Volvo S60,Automatic,2000.0,Foreign Used,2018,2549999.0
Mazda Demio,Automatic,1300.0,Kenyan Used,2008,589999.0
Mercedes Benz GLC 220d,Automatic,2100.0,Foreign Used,2018,5800000.0
Jaguar F pace,Automatic,5000.0,Foreign Used,2019,12492500.0
Jeep Grand Cherokee,Automatic,3000.0,Foreign Used,2018,7726130.0
Mercedes Benz G350d,Automatic,3000.0,Foreign Used,2018,14769489.0
Mercedes Benz G350d,Automatic,3000.0,Foreign Used,2019,19388175.0
Range Rover Vogue Autobiography,Automatic,5000.0,Kenyan Used,2014,8999999.0
Toyota Harrier,Automatic,2400.0,Kenyan Used,2008,1299999.0
BMW X4,Automatic,3000.0,Kenyan Used,2015,4499999.0
Range Rover Vogue SE,Automatic,3000.0,Kenyan Used,2014,8499999.0
Landrover Discovery Sport,Automatic,2000.0,Foreign Used,2017,4885000.0
BMW X5m,Automatic,4400.0,Foreign Used,2021,20764000.0
BMW M5,Automatic,4400.0,Foreign Used,2018,13420000.0
Volkswagen Tiguan,Automatic,1400.0,Foreign Used,2017,3950000.0
Volkswagen Golf TSI,Automatic,1200.0,Kenyan Used,2014,1349999.0
Toyota Harrier,Automatic,2500.0,Kenyan Used,2014,2699999.0
Mitsubishi Triton,Automatic,2500.0,Foreign Used,2019,5599999.0
Volkswagen Golf GTI,Automatic,2000.0,Foreign Used,2017,3499999.0
Toyota Landcruiser VX,Automatic,4500.0,Foreign Used,2017,14585000.0
Range Rover Vogue,Automatic,3000.0,Foreign Used,2019,12757061.0
BMW 523i,Automatic,2000.0,Foreign Used,2018,3450000.0
BMW 740i,Automatic,3000.0,Foreign Used,2018,6999999.0
Audi A7,Automatic,3000.0,Foreign Used,2019,6200000.0
Porsche Panamera,Automatic,3000.0,Foreign Used,2018,10750000.0
Subaru Impreza,Automatic,1600.0,Kenyan Used,2012,1099999.0
Audi S3,Automatic,2000.0,Foreign Used,2017,4400000.0
Mitsubishi Pajero,Automatic,3200.0,Foreign Used,2019,6550000.0
Porsche Macan GTS,Automatic,3000.0,Foreign Used,2017,7820000.0
Volvo XC60,Automatic,2000.0,Foreign Used,2017,5870000.0
Volvo S60,Automatic,2000.0,Foreign Used,2017,4390000.0
Audi Q3,Automatic,2000.0,Kenyan Used,2016,3499999.0
Toyota Fortuner,Automatic,2800.0,Foreign Used,2021,7160000.0
Toyota Landcruiser Prado TZ-G,Automatic,2800.0,Foreign Used,2019,9499999.0
Toyota Axio,Automatic,1500.0,Kenyan Used,2017,1849999.0
Peugeot 308,Automatic,1200.0,Kenyan Used,2016,1699999.0
Toyota Raum,Automatic,1500.0,Kenyan Used,2007,749999.0
Peugeot  3008,Automatic,1600.0,Foreign Used,2018,3799999.0
