Name,Transimission_Type,Engine_Size,Usage_Origin,Year,Price,Make,Model,Car_Age,Price_Range
Toyota Harrier,Automatic,2000.0,Foreign Used,2017,3450000.0,Toyota,Harrier,7,3M-5M
Audi Sq5,Automatic,3000.0,Foreign Used,2018,6463700.0,Audi,Sq5,6,5M-10M
Range Rover Vogue Sv,Automatic,4400.0,Foreign Used,2023,51400000.0,Range Rover,Vogue Sv,1,Above 30M
Isuzu Mux,Automatic,3000.0,Foreign Used,2022,8600000.0,Isuzu,Mux,2,5M-10M
Mazda Cx5,Automatic,2500.0,Foreign Used,2019,4788209.0,Mazda,Cx5,5,3M-5M
Toyota Fortuner,Automatic,2800.0,Foreign Used,2021,8182000.0,Toyota,Fortuner,3,5M-10M
Toyota Harrier,Automatic,2000.0,Foreign Used,2017,3999999.0,Toyota,Harrier,7,3M-5M
Citroen C4 Cactus,Automatic,1200.0,Foreign Used,2017,1859000.0,Citroen,C4 Cactus,7,1M-2M
Porsche Cayenne,Automatic,3000.0,Foreign Used,2019,10900000.0,Porsche,Cayenne,5,10M-20M
Volvo V60,Automatic,1600.0,Foreign Used,2017,2449999.0,Volvo,V60,7,2M-3M
Toyota Crown,Automatic,2500.0,Kenyan Used,2008,1199999.0,Toyota,Crown,16,1M-2M
Subaru Forester,Automatic,2000.0,Kenyan Used,2015,2399999.0,Subaru,Forester,9,2M-3M
Lexus Rx450H,Automatic,3500.0,Kenyan Used,2014,3499999.0,Lexus,Rx450H,10,3M-5M
Porsche Cayenne,Automatic,3600.0,Kenyan Used,2008,949999.0,Porsche,Cayenne,16,0-1M
Mazda Cx5,Automatic,2200.0,Kenyan Used,2013,1549999.0,Mazda,Cx5,11,1M-2M
Toyota Mark X,Automatic,2500.0,Foreign Used,2016,2399999.0,Toyota,Mark X,8,2M-3M
Mazda Demio,Automatic,1300.0,Kenyan Used,2016,1249999.0,Mazda,Demio,8,1M-2M
Volvo S60,Automatic,2000.0,Kenyan Used,2016,1799999.0,Volvo,S60,8,1M-2M
Nissan Xtrail,Automatic,2000.0,Kenyan Used,2015,1799999.0,Nissan,Xtrail,9,1M-2M
Mercedes Benz Benz S300H,Automatic,2100.0,Foreign Used,2017,6310000.0,Mercedes Benz,Benz S300H,7,5M-10M
Nissan Xtrail,Automatic,2000.0,Kenyan Used,2014,1499999.0,Nissan,Xtrail,10,1M-2M
Toyota Premio,Automatic,1500.0,Kenyan Used,2001,599999.0,Toyota,Premio,23,0-1M
Volvo Xc90,Automatic,2000.0,Foreign Used,2019,6795000.0,Volvo,Xc90,5,5M-10M
Bmw X3,Automatic,2000.0,Foreign Used,2017,4349999.0,Bmw,X3,7,3M-5M
Toyota Spade,Automatic,1500.0,Kenyan Used,2015,1099999.0,Toyota,Spade,9,1M-2M
Lexus Ls300H,Automatic,2500.0,Foreign Used,2017,3978000.0,Lexus,Ls300H,7,3M-5M
Toyota Harrier,Automatic,2000.0,Kenyan Used,2016,2899999.0,Toyota,Harrier,8,2M-3M
Volvo S60,Automatic,2000.0,Foreign Used,2018,2549999.0,Volvo,S60,6,2M-3M
Mazda Demio,Automatic,1300.0,Kenyan Used,2008,589999.0,Mazda,Demio,16,0-1M
Mercedes Benz Benz Glc 220D,Automatic,2100.0,Foreign Used,2018,5800000.0,Mercedes Benz,Benz Glc 220D,6,5M-10M
Jaguar F Pace,Automatic,5000.0,Foreign Used,2019,12492500.0,Jaguar,F Pace,5,10M-20M
Jeep Grand Cherokee,Automatic,3000.0,Foreign Used,2018,7726130.0,Jeep,Grand Cherokee,6,5M-10M
Mercedes Benz Benz G350D,Automatic,3000.0,Foreign Used,2018,14769489.0,Mercedes Benz,Benz G350D,6,10M-20M
Mercedes Benz Benz G350D,Automatic,3000.0,Foreign Used,2019,19388175.0,Mercedes Benz,Benz G350D,5,10M-20M
Range Rover Vogue Autobiography,Automatic,5000.0,Kenyan Used,2014,8999999.0,Range Rover,Vogue Autobiography,10,5M-10M
Toyota Harrier,Automatic,2400.0,Kenyan Used,2008,1299999.0,Toyota,Harrier,16,1M-2M
Bmw X4,Automatic,3000.0,Kenyan Used,2015,4499999.0,Bmw,X4,9,3M-5M
Range Rover Vogue Se,Automatic,3000.0,Kenyan Used,2014,8499999.0,Range Rover,Vogue Se,10,5M-10M
Land Rover Discovery Sport,Automatic,2000.0,Foreign Used,2017,4885000.0,Land Rover,Discovery Sport,7,3M-5M
Bmw X5M,Automatic,4400.0,Foreign Used,2021,20764000.0,Bmw,X5M,3,20M-30M
Bmw M5,Automatic,4400.0,Foreign Used,2018,13420000.0,Bmw,M5,6,10M-20M
Volkswagen Tiguan,Automatic,1400.0,Foreign Used,2017,3950000.0,Volkswagen,Tiguan,7,3M-5M
Volkswagen Golf Tsi,Automatic,1200.0,Kenyan Used,2014,1349999.0,Volkswagen,Golf Tsi,10,1M-2M
Toyota Harrier,Automatic,2500.0,Kenyan Used,2014,2699999.0,Toyota,Harrier,10,2M-3M
Mitsubishi Triton,Automatic,2500.0,Foreign Used,2019,5599999.0,Mitsubishi,Triton,5,5M-10M
Volkswagen Golf Gti,Automatic,2000.0,Foreign Used,2017,3499999.0,Volkswagen,Golf Gti,7,3M-5M
Toyota Landcruiser Vx,Automatic,4500.0,Foreign Used,2017,14585000.0,Toyota,Landcruiser Vx,7,10M-20M
Range Rover Vogue,Automatic,3000.0,Foreign Used,2019,12757061.0,Range Rover,Vogue,5,10M-20M
Bmw 523I,Automatic,2000.0,Foreign Used,2018,3450000.0,Bmw,523I,6,3M-5M
Bmw 740I,Automatic,3000.0,Foreign Used,2018,6999999.0,Bmw,740I,6,5M-10M
Audi A7,Automatic,3000.0,Foreign Used,2019,6200000.0,Audi,A7,5,5M-10M
Porsche Panamera,Automatic,3000.0,Foreign Used,2018,10750000.0,Porsche,Panamera,6,10M-20M
Subaru Impreza,Automatic,1600.0,Kenyan Used,2012,1099999.0,Subaru,Impreza,12,1M-2M
Audi S3,Automatic,2000.0,Foreign Used,2017,4400000.0,Audi,S3,7,3M-5M
Mitsubishi Pajero,Automatic,3200.0,Foreign Used,2019,6550000.0,Mitsubishi,Pajero,5,5M-10M
Porsche Macan Gts,Automatic,3000.0,Foreign Used,2017,7820000.0,Porsche,Macan Gts,7,5M-10M
Volvo Xc60,Automatic,2000.0,Foreign Used,2017,5870000.0,Volvo,Xc60,7,5M-10M
Volvo S60,Automatic,2000.0,Foreign Used,2017,4390000.0,Volvo,S60,7,3M-5M
Audi Q3,Automatic,2000.0,Kenyan Used,2016,3499999.0,Audi,Q3,8,3M-5M
Toyota Fortuner,Automatic,2800.0,Foreign Used,2021,7160000.0,Toyota,Fortuner,3,5M-10M
Toyota Landcruiser Prado Tz-G,Automatic,2800.0,Foreign Used,2019,9499999.0,Toyota,Landcruiser Prado Tz-G,5,5M-10M
Toyota Axio,Automatic,1500.0,Kenyan Used,2017,1849999.0,Toyota,Axio,7,1M-2M
Peugeot 308,Automatic,1200.0,Kenyan Used,2016,1699999.0,Peugeot,308,8,1M-2M
Toyota Raum,Automatic,1500.0,Kenyan Used,2007,749999.0,Toyota,Raum,17,0-1M
Peugeot  3008,Automatic,1600.0,Foreign Used,2018,3799999.0,Peugeot, 3008,6,3M-5M
Mazda Demio,Automatic,1300.0,Kenyan Used,2009,579999.0,Mazda,Demio,15,0-1M
Nissan Xtrail,Automatic,2000.0,Kenyan Used,2012,1449999.0,Nissan,Xtrail,12,1M-2M
Toyota Landcruiser Prado Vx-L,Automatic,4000.0,Kenyan Used,2014,4399999.0,Toyota,Landcruiser Prado Vx-L,10,3M-5M
Mazda Xc60,Automatic,2000.0,Kenyan Used,2012,1699999.0,Mazda,Xc60,12,1M-2M
Land Rover Discovery V,Automatic,3000.0,Foreign Used,2017,7844372.0,Land Rover,Discovery V,7,5M-10M
Toyota Prado Tx,Automatic,2800.0,Foreign Used,2017,5509281.0,Toyota,Prado Tx,7,5M-10M
Toyota Prado Txl,Automatic,2800.0,Foreign Used,2018,6032035.0,Toyota,Prado Txl,6,5M-10M
Toyota Prado Txl,Automatic,2800.0,Foreign Used,2018,6252035.0,Toyota,Prado Txl,6,5M-10M
Mercedes Benz Benz C180,Automatic,1600.0,Foreign Used,2017,4480000.0,Mercedes Benz,Benz C180,7,3M-5M
Bmw X5,Automatic,3000.0,Foreign Used,2018,7450000.0,Bmw,X5,6,5M-10M
Bmw X6M,Automatic,4400.0,Foreign Used,2018,9538000.0,Bmw,X6M,6,5M-10M
Toyota Landcruiser Prado,Automatic,2700.0,Foreign Used,2019,7499999.0,Toyota,Landcruiser Prado,5,5M-10M
Land Rover Freelander,Automatic,2200.0,Kenyan Used,2013,1999999.0,Land Rover,Freelander,11,1M-2M
Mercedes Benz Benz Gla 180,Automatic,1600.0,Foreign Used,2017,3699999.0,Mercedes Benz,Benz Gla 180,7,3M-5M
Toyota Rav4,Automatic,2000.0,Kenyan Used,2021,6199999.0,Toyota,Rav4,3,5M-10M
Toyota Estima,Automatic,2400.0,Kenyan Used,2016,1969999.0,Toyota,Estima,8,1M-2M
Toyota Harrier,Automatic,2000.0,Kenyan Used,2017,2949999.0,Toyota,Harrier,7,2M-3M
Mazda Familia,Automatic,1500.0,Kenyan Used,2000,349999.0,Mazda,Familia,24,0-1M
Nissan Ad Van,Automatic,1500.0,Kenyan Used,2011,509999.0,Nissan,Ad Van,13,0-1M
Mercedes Benz Benz E350,Automatic,3500.0,Kenyan Used,2010,1599999.0,Mercedes Benz,Benz E350,14,1M-2M
Range Rover Vogue,Automatic,5000.0,Foreign Used,2018,16993000.0,Range Rover,Vogue,6,10M-20M
Volkswagen Golf,Automatic,1200.0,Foreign Used,2017,2080000.0,Volkswagen,Golf,7,2M-3M
Toyota Prado Vxl,Automatic,2800.0,Foreign Used,2018,10999000.0,Toyota,Prado Vxl,6,10M-20M
Land Rover Discovery V,Automatic,3000.0,Foreign Used,2018,8320000.0,Land Rover,Discovery V,6,5M-10M
Land Rover Discovery V,Automatic,3000.0,Foreign Used,2017,7900000.0,Land Rover,Discovery V,7,5M-10M
Volvo V60,Automatic,2000.0,Foreign Used,2017,2349999.0,Volvo,V60,7,2M-3M
Nissan Bluebird,Automatic,1800.0,Kenyan Used,2011,679999.0,Nissan,Bluebird,13,0-1M
Toyota Fielder,Automatic,1500.0,Kenyan Used,2016,1699999.0,Toyota,Fielder,8,1M-2M
Peugeot  3008,Automatic,1600.0,Foreign Used,2017,3849999.0,Peugeot, 3008,7,3M-5M
Honda Fit,Automatic,1300.0,Kenyan Used,2013,849999.0,Honda,Fit,11,0-1M
Subaru Levorg,Automatic,1600.0,Kenyan Used,2014,1499999.0,Subaru,Levorg,10,1M-2M
Toyota Rav4,Manual,2000.0,Kenyan Used,2002,749999.0,Toyota,Rav4,22,0-1M
Nissan Tiida,Automatic,1500.0,Kenyan Used,2010,749999.0,Nissan,Tiida,14,0-1M
Audi Sq5,Automatic,3000.0,Foreign Used,2018,7299999.0,Audi,Sq5,6,5M-10M
Range Rover Evoque,Automatic,2000.0,Foreign Used,2017,4964568.0,Range Rover,Evoque,7,3M-5M
Audi Q3,Automatic,2000.0,Foreign Used,2017,3399999.0,Audi,Q3,7,3M-5M
Toyota Prado Txl,Automatic,2800.0,Foreign Used,2017,6890000.0,Toyota,Prado Txl,7,5M-10M
Toyota Prado Txl,Automatic,2800.0,Foreign Used,2017,6600000.0,Toyota,Prado Txl,7,5M-10M
Lexus Lx 570,Automatic,5700.0,Foreign Used,2018,13690000.0,Lexus,Lx 570,6,10M-20M
Volkswagen Golf Gti,Automatic,2000.0,Foreign Used,2017,3530000.0,Volkswagen,Golf Gti,7,3M-5M
Volkswagen Arteon,Automatic,2000.0,Foreign Used,2018,4470000.0,Volkswagen,Arteon,6,3M-5M
Mitsubishi Outlander,Automatic,2000.0,Foreign Used,2017,3738000.0,Mitsubishi,Outlander,7,3M-5M
Audi Q8,Automatic,3000.0,Foreign Used,2019,11271397.0,Audi,Q8,5,10M-20M
Land Rover Discovery V,Automatic,3000.0,Foreign Used,2017,8110000.0,Land Rover,Discovery V,7,5M-10M
Range Rover Evoque,Automatic,2000.0,Foreign Used,2018,6052767.0,Range Rover,Evoque,6,5M-10M
Toyota Landcruiser Zx,Automatic,4600.0,Foreign Used,2017,10190000.0,Toyota,Landcruiser Zx,7,10M-20M
Mercedes Benz Benz Gle 400D,Automatic,2900.0,Foreign Used,2021,14956186.0,Mercedes Benz,Benz Gle 400D,3,10M-20M
Mercedes Benz Benz Gle 400D,Automatic,2900.0,Foreign Used,2020,13521821.0,Mercedes Benz,Benz Gle 400D,4,10M-20M
Audi Rs7,Automatic,4000.0,Foreign Used,2017,10384000.0,Audi,Rs7,7,10M-20M
Mercedes Benz Benz Gle 400D,Automatic,2900.0,Foreign Used,2020,14178821.0,Mercedes Benz,Benz Gle 400D,4,10M-20M
Daihatsu Mira,Automatic,660.0,Kenyan Used,2012,529999.0,Daihatsu,Mira,12,0-1M
Range Rover Evoque,Automatic,2000.0,Foreign Used,2017,5209571.0,Range Rover,Evoque,7,5M-10M
Audi Q7,Automatic,3000.0,Foreign Used,2017,6800000.0,Audi,Q7,7,5M-10M
Subaru Outback,Automatic,2500.0,Foreign Used,2018,4190000.0,Subaru,Outback,6,3M-5M
Mercedes Benz Benz Glc 250,Automatic,2000.0,Foreign Used,2018,6430000.0,Mercedes Benz,Benz Glc 250,6,5M-10M
Nissan Xtrail,Automatic,2000.0,Kenyan Used,2012,1399999.0,Nissan,Xtrail,12,1M-2M
Nissan Note,Automatic,1200.0,Kenyan Used,2013,699999.0,Nissan,Note,11,0-1M
Toyota Hilux,Manual,3000.0,Kenyan Used,2007,1699999.0,Toyota,Hilux,17,1M-2M
Audi Q5,Automatic,2000.0,Foreign Used,2017,3979999.0,Audi,Q5,7,3M-5M
Peugeot 3008,Automatic,1600.0,Foreign Used,2017,3385793.0,Peugeot,3008,7,3M-5M
Peugeot 308,Automatic,1200.0,Foreign Used,2017,2330000.0,Peugeot,308,7,2M-3M
Audi Q5,Automatic,2000.0,Foreign Used,2018,4699000.0,Audi,Q5,6,3M-5M
Toyota Prado Tzg,Automatic,2800.0,Foreign Used,2017,8330000.0,Toyota,Prado Tzg,7,5M-10M
Range Rover Sport,Automatic,3000.0,Foreign Used,2020,13449000.0,Range Rover,Sport,4,10M-20M
